Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_BUSY,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQC_ICACHE_MISSES,SQ_ACTIVE_INST_LDS,SQ_INSTS_GDS,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VMEM,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,TA_BUFFER_TOTAL_CYCLES_sum,TA_FLAT_ATOMIC_WAVEFRONTS_sum,TCC_ATOMIC_sum,TCC_CC_REQ_sum,TCC_EA0_RDREQ_32B_sum,TCC_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCP_TCC_NC_WRITE_REQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_RW_READ_REQ_sum
10,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244146594980,20244146652190,11,121,1136.0,274680.0,160.0,0.0,0.0,0.0,0.0,262144.0,908390256.0,908390256.0,0.0,0.0,0.0,0.0,0.0,4198320.0,0.0,0.0,0.0,0.0
11,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244147009963,20244147043840,12,27,1136.0,647758.0,147.0,250707.0,0.0,0.0,0.0,36864.0,16799596.0,16799596.0,589824.0,0.0,0.0,0.0,0.0,400664.0,0.0,0.0,262144.0,262144.0
12,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244147414081,20244147471652,13,121,1136.0,276513.0,160.0,0.0,0.0,0.0,0.0,262144.0,917106188.0,917106188.0,0.0,0.0,0.0,0.0,0.0,4198320.0,0.0,0.0,0.0,0.0
13,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244147829626,20244147863102,14,27,1136.0,639745.0,147.0,250667.0,0.0,0.0,0.0,36864.0,16739924.0,16739924.0,589824.0,0.0,0.0,0.0,0.0,400680.0,0.0,0.0,262144.0,262144.0
14,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244148438409,20244148470843,15,27,1136.0,623971.0,147.0,250671.0,0.0,0.0,0.0,36864.0,15934512.0,15934512.0,589824.0,0.0,0.0,0.0,0.0,400664.0,0.0,0.0,262144.0,262144.0
15,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244148828857,20244148860408,16,27,1136.0,607237.0,141.0,250649.0,0.0,0.0,0.0,36864.0,15871192.0,15871192.0,589824.0,0.0,0.0,0.0,0.0,400360.0,0.0,0.0,262144.0,262144.0
16,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244149266050,20244149296399,17,27,1136.0,579854.0,135.0,250704.0,0.0,0.0,0.0,36864.0,15149400.0,15149400.0,589824.0,0.0,0.0,0.0,0.0,400056.0,0.0,0.0,262144.0,262144.0
17,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244149649001,20244149679269,18,27,1136.0,593071.0,135.0,250720.0,0.0,0.0,0.0,36864.0,15182088.0,15182088.0,589824.0,0.0,0.0,0.0,0.0,400056.0,0.0,0.0,262144.0,262144.0
18,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244150020445,20244150050914,19,27,1136.0,594081.0,126.0,250639.0,0.0,0.0,0.0,36864.0,15043404.0,15043404.0,589824.0,0.0,0.0,0.0,0.0,399600.0,0.0,0.0,262144.0,262144.0
19,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244150416946,20244150447014,20,27,1136.0,582958.0,132.0,250681.0,0.0,0.0,0.0,36864.0,15009692.0,15009692.0,589824.0,0.0,0.0,0.0,0.0,399904.0,0.0,0.0,262144.0,262144.0
20,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244150798293,20244150828802,21,27,1136.0,590401.0,138.0,250701.0,0.0,0.0,0.0,36864.0,15165400.0,15165400.0,589824.0,0.0,0.0,0.0,0.0,400208.0,0.0,0.0,262144.0,262144.0
21,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244151176232,20244151218929,22,121,1646.0,228602.0,160.0,0.0,0.0,0.0,0.0,262144.0,666087344.0,666087344.0,0.0,0.0,0.0,0.0,0.0,4198304.0,0.0,0.0,0.0,0.0
22,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244151578827,20244151610138,23,27,1136.0,605934.0,153.0,250742.0,0.0,0.0,0.0,36864.0,15126504.0,15126504.0,589824.0,0.0,0.0,0.0,0.0,400984.0,0.0,0.0,262144.0,262144.0
23,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244151970156,20244152012572,24,121,1136.0,222586.0,160.0,0.0,0.0,0.0,0.0,262144.0,662213856.0,662213856.0,0.0,0.0,0.0,0.0,0.0,4198304.0,0.0,0.0,0.0,0.0
24,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244152360844,20244152391914,25,27,1136.0,606324.0,144.0,250731.0,0.0,0.0,0.0,36864.0,15239636.0,15239636.0,589824.0,0.0,0.0,0.0,0.0,400528.0,0.0,0.0,262144.0,262144.0
25,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244152754338,20244152796995,26,121,1136.0,233155.0,160.0,0.0,0.0,0.0,0.0,262144.0,668972564.0,668972564.0,0.0,0.0,0.0,0.0,0.0,4198320.0,0.0,0.0,0.0,0.0
26,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244153160541,20244153190970,27,27,1136.0,592019.0,141.0,250726.0,0.0,0.0,0.0,36864.0,15231692.0,15231692.0,589824.0,0.0,0.0,0.0,0.0,400360.0,0.0,0.0,262144.0,262144.0
27,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244153558085,20244153601022,28,121,1136.0,226124.0,160.0,0.0,0.0,0.0,0.0,262144.0,672794644.0,672794644.0,0.0,0.0,0.0,0.0,0.0,4198320.0,0.0,0.0,0.0,0.0
28,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244153961482,20244153991991,29,27,1136.0,592734.0,138.0,250744.0,0.0,0.0,0.0,36864.0,15154424.0,15154424.0,589824.0,0.0,0.0,0.0,0.0,400208.0,0.0,0.0,262144.0,262144.0
29,0,1,235,235,4194304,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",20244154342227,20244154385325,30,121,1136.0,237870.0,160.0,0.0,0.0,0.0,0.0,262144.0,671228888.0,671228888.0,0.0,0.0,0.0,0.0,0.0,4198320.0,0.0,0.0,0.0,0.0
30,0,1,235,235,16384,256,0,0,16,192,48,64,matmul_kernel,20244154749472,20244154780222,31,27,1136.0,593516.0,147.0,250767.0,0.0,0.0,0.0,36864.0,15144820.0,15144820.0,589824.0,0.0,0.0,0.0,0.0,400664.0,0.0,0.0,262144.0,262144.0
